,cumulo,nomenclatura_nodo,integridad_nodo,ecosistema,municipio,estado,coord_longitud,coord_latitud,fecha_foto,numero_individuos,etiqueta,anotador_id,ruta
10,95,1_95_1_1350,Integro,Bosques templados,Municipio de Agua Prieta,Sonora,-108.94,31.1979,2021-08-04T18:03:08Z,1.0,Ursus americanus,44,95/1_95_1_1350/HLPXGM09048973/2021-08-05/images_videos/e9aebd6e0dd51d7844e90bc553a1affb_0065.JPG
11,92,3_92_0_1339,Degradado,Selvas humedas,Marqués de Comillas,Chiapas,-90.8071,16.1478,2021-07-18T09:52:43Z,1.0,Mammalia,6,92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/d82b338c88a264c50de8bc77b01d0179_0085.JPG
12,95,1_95_1_1350,Integro,Bosques templados,Municipio de Agua Prieta,Sonora,-108.94,31.1856,2021-08-08T02:27:41Z,1.0,Ursus americanus,44,95/1_95_1_1350/HLPXGM09049766/2021-08-04/images_videos/fffd567168f3716a4ae75597852040bd_0044.JPG
13,92,3_92_1_1338,Integro,Selvas humedas,Ocosingo,Chiapas,-90.9086,16.1619,2021-08-11T07:34:45Z,1.0,Crax rubra,44,92/3_92_1_1338/HLPXGM09048270/2021-07-28/images_videos/67d05ab08373e05948bd2cfc6d03666f_0059.JPG
14,95,1_95_1_1350,Integro,Bosques templados,Municipio de Agua Prieta,Sonora,-108.94,31.1856,2021-08-08T02:27:41Z,1.0,Ursus americanus,44,95/1_95_1_1350/HLPXGM09049766/2021-08-04/images_videos/fffd567168f3716a4ae75597852040bd_0044.JPG
15,92,3_92_1_1338,Integro,Selvas humedas,Ocosingo,Chiapas,-90.9086,16.1619,2021-08-11T07:34:44Z,1.0,Crax rubra,44,92/3_92_1_1338/HLPXGM09048270/2021-07-28/images_videos/26626af9883bf6f5a815d8bf794bcd7c_0058.JPG
16,92,3_92_0_1339,Degradado,Selvas humedas,Marqués de Comillas,Chiapas,-90.8071,16.1478,2021-07-08T06:16:51Z,1.0,Dicotyles tajacu,44,92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/43f0bfb6908c72b8371e519153784ef0_0038.JPG
17,92,3_92_0_1339,Degradado,Selvas humedas,Marqués de Comillas,Chiapas,-90.8071,16.1478,2021-07-08T06:59:25Z,1.0,Dicotyles tajacu,44,92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/44725572e5fab62076baa1922b206c7d_0046.JPG
18,92,3_92_0_1339,Degradado,Selvas humedas,Marqués de Comillas,Chiapas,-90.8071,16.1478,2021-07-08T06:59:26Z,1.0,Dicotyles tajacu,44,92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/0206abc27aff20ab6417aba63fb315f6_0047.JPG
19,92,3_92_0_1339,Degradado,Selvas humedas,Marqués de Comillas,Chiapas,-90.8071,16.1478,2021-07-08T07:00:01Z,1.0,Dicotyles tajacu,44,92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/4555039612d4f6b1bc15ec298c6d1d7f_0049.JPG
20,92,3_92_0_1339,Degradado,Selvas humedas,Marqués de Comillas,Chiapas,-90.8071,16.1478,2021-07-08T15:41:37Z,1.0,Mazama temama,44,92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/e255e05d7a8628e597702efa9b733603_0055.JPG
21,92,3_92_0_1339,Degradado,Selvas humedas,Marqués de Comillas,Chiapas,-90.8071,16.1478,2021-07-08T11:50:11Z,1.0,Mazama temama,44,92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/8536400c85b6f9684a4acfa32d8083b1_0053.JPG
22,92,3_92_0_1339,Degradado,Selvas humedas,Marqués de Comillas,Chiapas,-90.8071,16.1478,2021-07-08T11:50:10Z,1.0,Mazama temama,44,92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/dbcf6ecaceabf9839d63c1acdac23074_0052.JPG
23,92,3_92_0_1339,Degradado,Selvas humedas,Marqués de Comillas,Chiapas,-90.8071,16.1478,2021-07-08T15:41:38Z,1.0,Mazama temama,44,92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/e932de796cf531653060ec6b3b9c564d_0056.JPG
24,92,3_92_0_1339,Degradado,Selvas humedas,Marqués de Comillas,Chiapas,-90.8071,16.1478,2021-07-08T15:42:05Z,1.0,Mazama temama,44,92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/bf24b94e79c09ac1811dcc59bbdf5f2d_0058.JPG
25,92,3_92_0_1339,Degradado,Selvas humedas,Marqués de Comillas,Chiapas,-90.8071,16.1478,2021-07-08T15:42:06Z,1.0,Mazama temama,44,92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/68dc231bff6a54670f8dd70c5c4007d2_0059.JPG
26,92,3_92_0_1339,Degradado,Selvas humedas,Marqués de Comillas,Chiapas,-90.8071,16.1478,2021-07-08T15:42:05Z,1.0,Mazama temama,44,92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/bf24b94e79c09ac1811dcc59bbdf5f2d_0058.JPG
27,92,3_92_0_1339,Degradado,Selvas humedas,Marqués de Comillas,Chiapas,-90.8071,16.1478,2021-07-08T15:42:26Z,1.0,Mazama temama,44,92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/0f29c453da702f7d8394503e2b293004_0061.JPG
28,92,3_92_0_1339,Degradado,Selvas humedas,Marqués de Comillas,Chiapas,-90.8071,16.1478,2021-07-08T15:42:27Z,1.0,Mazama temama,44,92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/9c9d16e211f5b32c9e8b5ed48ee49811_0062.JPG
29,92,3_92_0_1339,Degradado,Selvas humedas,Marqués de Comillas,Chiapas,-90.8071,16.1478,2021-07-08T15:42:48Z,1.0,Mazama temama,44,92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/04fb2ffca1a1301ffa814d5955580e73_0064.JPG
30,92,3_92_0_1339,Degradado,Selvas humedas,Marqués de Comillas,Chiapas,-90.8071,16.1478,2021-07-08T15:42:49Z,1.0,Mazama temama,44,92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/66acc58ce959e222f8c81defb51c4aab_0065.JPG
31,92,3_92_0_1339,Degradado,Selvas humedas,Marqués de Comillas,Chiapas,-90.8071,16.1478,2021-07-08T15:43:41Z,1.0,Mazama temama,44,92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/8f8909442d8f1e3135a97cdb48c3bb93_0068.JPG
32,92,3_92_0_1339,Degradado,Selvas humedas,Marqués de Comillas,Chiapas,-90.8071,16.1478,2021-07-08T15:43:40Z,1.0,Mazama temama,44,92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/8bef7ca8c9a0a8f1c5ffdf405f9bee97_0067.JPG
33,92,3_92_0_1339,Degradado,Selvas humedas,Marqués de Comillas,Chiapas,-90.8071,16.1478,2021-07-18T08:38:49Z,1.0,Dicotyles tajacu,44,92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/ea1676ee91c62bcd6da20d1d714d337f_0080.JPG
34,92,3_92_0_1339,Degradado,Selvas humedas,Marqués de Comillas,Chiapas,-90.8071,16.1478,2021-07-12T16:33:38Z,1.0,Dicotyles tajacu,44,92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/cdde72c18fc938e53474c7106609c4bc_0077.JPG
35,92,3_92_0_1339,Degradado,Selvas humedas,Marqués de Comillas,Chiapas,-90.8071,16.1478,2021-07-18T08:38:47Z,1.0,Dicotyles tajacu,44,92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/8cbc92210aca4d261f65d1f9f3c616b1_0079.JPG
36,92,3_92_0_1339,Degradado,Selvas humedas,Marqués de Comillas,Chiapas,-90.8071,16.1478,2021-07-12T16:33:37Z,1.0,Dicotyles tajacu,44,92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/70fc3724a3c1cf01c629cb8f95bdcf20_0076.JPG
37,92,3_92_1_1338,Integro,Selvas humedas,Ocosingo,Chiapas,-90.9086,16.1619,2021-07-29T07:08:33Z,1.0,Crax rubra,44,92/3_92_1_1338/HLPXGM09048270/2021-07-28/images_videos/0b850529ddaab1bc8591fb4bba72fadb_0004.JPG
38,92,3_92_1_1338,Integro,Selvas humedas,Ocosingo,Chiapas,-90.9086,16.1619,2021-07-29T07:08:34Z,1.0,Crax rubra,44,92/3_92_1_1338/HLPXGM09048270/2021-07-28/images_videos/3403a8e4f709c6ea90b2287dd70c3824_0005.JPG
39,92,3_92_1_1338,Integro,Selvas humedas,Ocosingo,Chiapas,-90.9086,16.1619,2021-07-29T07:08:33Z,1.0,Crax rubra,44,92/3_92_1_1338/HLPXGM09048270/2021-07-28/images_videos/0b850529ddaab1bc8591fb4bba72fadb_0004.JPG
40,92,3_92_0_1339,Degradado,Selvas humedas,Marqués de Comillas,Chiapas,-90.8071,16.1478,2021-07-18T09:52:44Z,2.0,Tamandua mexicana,44,92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/43214f7aa92ffd8b1117a72cfb9db947_0086.JPG
41,92,3_92_1_1338,Integro,Selvas humedas,Ocosingo,Chiapas,-90.9086,16.1619,2021-07-29T21:53:17Z,1.0,Cuniculus paca,44,92/3_92_1_1338/HLPXGM09048270/2021-07-28/images_videos/36c9323d0b2ef3a56e609d5e2f4fdcbd_0007.JPG
42,92,3_92_1_1338,Integro,Selvas humedas,Ocosingo,Chiapas,-90.9086,16.1619,2021-07-29T07:08:34Z,1.0,Crax rubra,44,92/3_92_1_1338/HLPXGM09048270/2021-07-28/images_videos/3403a8e4f709c6ea90b2287dd70c3824_0005.JPG
43,92,3_92_1_1338,Integro,Selvas humedas,Ocosingo,Chiapas,-90.9129,16.1666,2021-07-29T19:02:21Z,1.0,Aves,44,92/3_92_1_1338/HLPXGM09049271/2021-07-28/images_videos/889d39e27fda1b68249b133fbd5ebcad_0002.JPG
44,92,3_92_1_1338,Integro,Selvas humedas,Ocosingo,Chiapas,-90.9086,16.1619,2021-07-29T21:53:18Z,1.0,Cuniculus paca,44,92/3_92_1_1338/HLPXGM09048270/2021-07-28/images_videos/a4de4afd3f9b495b4784bede9dae889d_0008.JPG
45,92,3_92_1_1338,Integro,Selvas humedas,Ocosingo,Chiapas,-90.9086,16.1619,2021-07-29T21:53:31Z,1.0,Cuniculus paca,44,92/3_92_1_1338/HLPXGM09048270/2021-07-28/images_videos/1a710efd9ae9309d0537059ffbdfcfee_0010.JPG
46,92,3_92_1_1338,Integro,Selvas humedas,Ocosingo,Chiapas,-90.9086,16.1619,2021-07-29T21:53:32Z,1.0,Cuniculus paca,44,92/3_92_1_1338/HLPXGM09048270/2021-07-28/images_videos/38a8465e73e4175941835f43abab1450_0011.JPG
47,92,3_92_1_1338,Integro,Selvas humedas,Ocosingo,Chiapas,-90.9133,16.1587,2021-07-29T22:51:54Z,1.0,Dasypus novemcinctus,44,92/3_92_1_1338/HLPXGM09049514/2021-07-28/images_videos/a0757bf5165809035170280623f0788b_0044.JPG
48,92,3_92_1_1338,Integro,Selvas humedas,Ocosingo,Chiapas,-90.9133,16.1587,2021-07-29T22:51:53Z,1.0,Dasypus novemcinctus,44,92/3_92_1_1338/HLPXGM09049514/2021-07-28/images_videos/f410df19eb07cd60e5e265ed6775c94f_0043.JPG
49,92,3_92_0_1339,Degradado,Selvas humedas,Marqués de Comillas,Chiapas,-90.8071,16.1478,2021-07-30T21:33:23Z,1.0,Dasypus novemcinctus,44,92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/9b2d15cb995fb41922cb4f83fe6f5d4a_0094.JPG
50,92,3_92_0_1339,Degradado,Selvas humedas,Marqués de Comillas,Chiapas,-90.8071,16.1478,2021-07-30T21:33:24Z,1.0,Dasypus novemcinctus,44,92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/04a5ccd72e6d6e0285ded2c21f82b102_0095.JPG
51,92,3_92_1_1338,Integro,Selvas humedas,Ocosingo,Chiapas,-90.9133,16.1587,2021-07-31T02:29:32Z,1.0,Didelphis,44,92/3_92_1_1338/HLPXGM09049514/2021-07-28/images_videos/2254083de612d77d6894f7fadf9e54d1_0046.JPG
52,92,3_92_1_1338,Integro,Selvas humedas,Ocosingo,Chiapas,-90.9133,16.1587,2021-07-31T02:29:33Z,1.0,Didelphis,44,92/3_92_1_1338/HLPXGM09049514/2021-07-28/images_videos/d45fedc4bb362a78569a6681d03d9ed6_0047.JPG
53,92,3_92_1_1338,Integro,Selvas humedas,Ocosingo,Chiapas,-90.9048,16.1693,2021-07-31T14:31:45Z,1.0,Mazama temama,44,92/3_92_1_1338/HLPXGM09048594/2021-07-28/images_videos/0a499c637c39611993f51ea52e4cfad2_0019.JPG
54,92,3_92_1_1338,Integro,Selvas humedas,Ocosingo,Chiapas,-90.9048,16.1693,2021-07-31T14:31:46Z,1.0,Mazama temama,44,92/3_92_1_1338/HLPXGM09048594/2021-07-28/images_videos/1952643074f8b61b443fa4aaeaa809e8_0020.JPG
55,92,3_92_0_1339,Degradado,Selvas humedas,Marqués de Comillas,Chiapas,-90.8138,16.1566,2021-08-02T05:16:00Z,1.0,Dasypus novemcinctus,44,92/3_92_0_1339/HLPXGM09048925/2021-07-29/images_videos/f1fbf1d7df5024f78156c80339067f3c_0055.JPG
56,92,3_92_1_1338,Integro,Selvas humedas,Ocosingo,Chiapas,-90.9086,16.1619,2021-08-02T11:35:33Z,1.0,Crax rubra,44,92/3_92_1_1338/HLPXGM09048270/2021-07-28/images_videos/44d894a82a93c1206e351586cc15f68a_0014.JPG
57,92,3_92_1_1338,Integro,Selvas humedas,Ocosingo,Chiapas,-90.9086,16.1619,2021-08-02T11:35:32Z,1.0,Crax rubra,44,92/3_92_1_1338/HLPXGM09048270/2021-07-28/images_videos/c9afa5242d964589a326331b3015e6d5_0013.JPG
58,92,3_92_0_1339,Degradado,Selvas humedas,Marqués de Comillas,Chiapas,-90.8138,16.1566,2021-08-02T05:16:01Z,1.0,Dasypus novemcinctus,44,92/3_92_0_1339/HLPXGM09048925/2021-07-29/images_videos/d7bfa223ec7660eeb36b0eccf9670ca7_0056.JPG
59,13,3_13_0_1399,Degradado,Selvas humedas,Palizada,Campeche,-91.9688,18.0872,2021-08-04T12:15:26Z,1.0,Leopardus pardalis,44,13/3_13_0_1399/HLPXGM09048449/2021-08-03/images_videos/9a7f6e052e5464fba36d94143642e9a1_0004.JPG
60,92,3_92_1_1338,Integro,Selvas humedas,Ocosingo,Chiapas,-90.9129,16.1666,2021-08-04T06:50:01Z,1.0,Columbidae,44,92/3_92_1_1338/HLPXGM09049271/2021-07-28/images_videos/10a71e111fc1df5c50d3420a073c65c1_0008.JPG
61,92,3_92_1_1338,Integro,Selvas humedas,Ocosingo,Chiapas,-90.9129,16.1666,2021-08-04T06:50:00Z,1.0,Columbidae,44,92/3_92_1_1338/HLPXGM09049271/2021-07-28/images_videos/80a88c0d228069557ca28e3c86dc18b9_0007.JPG
62,95,1_95_0_1348,Degradado,Bosques templados,Municipio de Agua Prieta,Sonora,-108.952,31.254,2021-08-04T16:11:45Z,2.0,Odocoileus virginianus,44,95/1_95_0_1348/HLPXGM09048863/2021-08-04/images_videos/18f8c73cba82aef837a1639d3e2f37b6_0104.JPG
63,95,1_95_0_1348,Degradado,Bosques templados,Municipio de Agua Prieta,Sonora,-108.952,31.254,2021-08-04T16:11:44Z,1.0,Odocoileus virginianus,44,95/1_95_0_1348/HLPXGM09048863/2021-08-04/images_videos/f9577498cddb89f28b0d51bf5b49c1a6_0103.JPG
64,95,1_95_0_1348,Degradado,Bosques templados,Municipio de Agua Prieta,Sonora,-108.952,31.254,2021-08-04T16:11:44Z,1.0,Odocoileus virginianus,44,95/1_95_0_1348/HLPXGM09048863/2021-08-04/images_videos/f9577498cddb89f28b0d51bf5b49c1a6_0103.JPG
65,13,3_13_0_1399,Degradado,Selvas humedas,Palizada,Campeche,-91.9688,18.0872,2021-08-04T12:15:27Z,1.0,Leopardus pardalis,44,13/3_13_0_1399/HLPXGM09048449/2021-08-03/images_videos/f67e2cfcf3f02e74c42f9c8ec017c4d4_0005.JPG
66,95,1_95_1_1350,Integro,Bosques templados,Municipio de Agua Prieta,Sonora,-108.94,31.1979,2021-08-04T18:02:53Z,1.0,Ursus americanus,44,95/1_95_1_1350/HLPXGM09048973/2021-08-05/images_videos/26a65d86f77201ef0f6c0176ec2ce265_0061.JPG
67,95,1_95_1_1350,Integro,Bosques templados,Municipio de Agua Prieta,Sonora,-108.94,31.1979,2021-08-04T18:02:54Z,1.0,Ursus americanus,44,95/1_95_1_1350/HLPXGM09048973/2021-08-05/images_videos/1c1b143f8d9c5ddfa720def05dbc68e5_0062.JPG
68,92,3_92_1_1338,Integro,Selvas humedas,Marqués de Comillas,Chiapas,-90.9048,16.1583,2021-08-04T21:14:07Z,1.0,Dasypus novemcinctus,44,92/3_92_1_1338/HLPXGM09048890/2021-07-28/images_videos/6f6779160de81300d8f4087aa972f572_0019.JPG
69,92,3_92_1_1338,Integro,Selvas humedas,Ocosingo,Chiapas,-90.9086,16.1619,2021-08-05T01:38:09Z,1.0,Cuniculus paca,44,92/3_92_1_1338/HLPXGM09048270/2021-07-28/images_videos/d2ccf437a0d65b3a23c0db1d92affa98_0016.JPG
70,95,1_95_1_1350,Integro,Bosques templados,Municipio de Agua Prieta,Sonora,-108.94,31.1979,2021-08-04T18:03:07Z,1.0,Ursus americanus,44,95/1_95_1_1350/HLPXGM09048973/2021-08-05/images_videos/54eb25c70c4e63700d1d4f4785f7518e_0064.JPG
71,92,3_92_1_1338,Integro,Selvas humedas,Ocosingo,Chiapas,-90.9086,16.1619,2021-08-05T01:38:30Z,1.0,Cuniculus paca,44,92/3_92_1_1338/HLPXGM09048270/2021-07-28/images_videos/63aef80b6388ff2d41cb8dada73f5528_0020.JPG
72,92,3_92_1_1338,Integro,Selvas humedas,Ocosingo,Chiapas,-90.9086,16.1619,2021-08-05T01:38:29Z,1.0,Cuniculus paca,44,92/3_92_1_1338/HLPXGM09048270/2021-07-28/images_videos/79840bbc9627d20b0650dd8cd9457b21_0019.JPG
73,92,3_92_1_1338,Integro,Selvas humedas,Ocosingo,Chiapas,-90.9086,16.1619,2021-08-05T01:38:10Z,1.0,Cuniculus paca,44,92/3_92_1_1338/HLPXGM09048270/2021-07-28/images_videos/cd377d303cd1128cf1925eccba9f7020_0017.JPG
74,92,3_92_1_1338,Integro,Selvas humedas,Ocosingo,Chiapas,-90.9086,16.1619,2021-08-05T08:23:24Z,1.0,Crax rubra,44,92/3_92_1_1338/HLPXGM09048270/2021-07-28/images_videos/04be2c15214d0dfe3cb053c3833b98a4_0022.JPG
75,92,3_92_0_1339,Degradado,Selvas humedas,Marqués de Comillas,Chiapas,-90.8165,16.1494,2021-08-05T02:20:05Z,1.0,Philander opossum,44,92/3_92_0_1339/HLPXGM09049092/2021-07-29/images_videos/8f71d2a88f7adaa34bd3baba7cf493af_0016.JPG
76,92,3_92_0_1339,Degradado,Selvas humedas,Marqués de Comillas,Chiapas,-90.8165,16.1494,2021-08-05T02:20:06Z,1.0,Philander opossum,44,92/3_92_0_1339/HLPXGM09049092/2021-07-29/images_videos/35c8dad021a76730f9e3bfb586cdbebe_0017.JPG
77,92,3_92_1_1338,Integro,Selvas humedas,Ocosingo,Chiapas,-90.9086,16.1619,2021-08-05T08:23:25Z,1.0,Crax rubra,44,92/3_92_1_1338/HLPXGM09048270/2021-07-28/images_videos/783ed64ec350a9b0eadd24e4441177ef_0023.JPG
78,92,3_92_1_1338,Integro,Selvas humedas,Ocosingo,Chiapas,-90.9086,16.1619,2021-08-05T08:30:27Z,1.0,Crax rubra,44,92/3_92_1_1338/HLPXGM09048270/2021-07-28/images_videos/68508621493a223ed3e1bd15bd91425c_0026.JPG
79,92,3_92_1_1338,Integro,Selvas humedas,Ocosingo,Chiapas,-90.9086,16.1619,2021-08-05T08:30:26Z,1.0,Crax rubra,44,92/3_92_1_1338/HLPXGM09048270/2021-07-28/images_videos/448380a5beb5c4fc09e99ea32bf9ad64_0025.JPG
80,95,1_95_1_1350,Integro,Bosques templados,Municipio de Agua Prieta,Sonora,-108.935,31.1922,2021-08-05T09:38:49Z,1.0,Odocoileus virginianus,44,95/1_95_1_1350/HLPXGM09049767/2021-08-04/images_videos/c7b563124d65b8e880c2ce3b3ae2a50a_0055.JPG
81,95,1_95_0_1348,Degradado,Bosques templados,Municipio de Agua Prieta,Sonora,-108.952,31.254,2021-08-05T11:03:23Z,1.0,Odocoileus virginianus,44,95/1_95_0_1348/HLPXGM09048863/2021-08-04/images_videos/be37d29221eee612e3bc283e8891ca27_0109.JPG
82,95,1_95_1_1350,Integro,Bosques templados,Municipio de Agua Prieta,Sonora,-108.935,31.1922,2021-08-05T09:38:50Z,1.0,Odocoileus virginianus,44,95/1_95_1_1350/HLPXGM09049767/2021-08-04/images_videos/bf5fbccf75877f5d3f68bd9a3f1c4385_0056.JPG
83,95,1_95_0_1348,Degradado,Bosques templados,Municipio de Agua Prieta,Sonora,-108.952,31.254,2021-08-05T11:03:24Z,1.0,Odocoileus virginianus,44,95/1_95_0_1348/HLPXGM09048863/2021-08-04/images_videos/fb91e5b32af0e98b5a85716665ace1ac_0110.JPG
84,95,1_95_0_1348,Degradado,Bosques templados,Municipio de Agua Prieta,Sonora,-108.958,31.2577,2021-08-05T11:50:58Z,1.0,Equus,44,95/1_95_0_1348/HLPXGM09049680/2021-08-04/images_videos/60f7aeb9d1df1dde9b623011567bd0e4_0035.JPG
85,95,1_95_0_1348,Degradado,Bosques templados,Municipio de Agua Prieta,Sonora,-108.958,31.2577,2021-08-05T11:50:57Z,1.0,Equus,44,95/1_95_0_1348/HLPXGM09049680/2021-08-04/images_videos/93469b87c41eb0346177ce976dede32c_0034.JPG
86,95,1_95_0_1348,Degradado,Bosques templados,Municipio de Agua Prieta,Sonora,-108.958,31.2577,2021-08-05T11:52:45Z,1.0,Equus caballus,44,95/1_95_0_1348/HLPXGM09049680/2021-08-04/images_videos/b8f41b5ce6d2dda8cfa08d76a0a63bef_0040.JPG
87,95,1_95_0_1348,Degradado,Bosques templados,Municipio de Agua Prieta,Sonora,-108.958,31.2577,2021-08-05T11:51:13Z,1.0,Equus caballus,44,95/1_95_0_1348/HLPXGM09049680/2021-08-04/images_videos/ca7452e917c7a40fb9d25358127fcfb2_0038.JPG
88,95,1_95_0_1348,Degradado,Bosques templados,Municipio de Agua Prieta,Sonora,-108.958,31.2577,2021-08-05T11:51:12Z,1.0,Equus caballus,44,95/1_95_0_1348/HLPXGM09049680/2021-08-04/images_videos/1e0084bd6b78e0991a036d862dad7279_0037.JPG
89,92,3_92_1_1338,Integro,Selvas humedas,Marqués de Comillas,Chiapas,-90.9048,16.1583,2021-08-05T15:29:25Z,1.0,Dicotyles tajacu,44,92/3_92_1_1338/HLPXGM09048890/2021-07-28/images_videos/0e4a500d25ecca9194d940db0c35f017_0023.JPG
90,92,3_92_1_1338,Integro,Selvas humedas,Marqués de Comillas,Chiapas,-90.9048,16.1583,2021-08-05T15:29:24Z,1.0,Dicotyles tajacu,44,92/3_92_1_1338/HLPXGM09048890/2021-07-28/images_videos/0b48d24f7e1d12ec26d73ea5588f9959_0022.JPG
91,95,1_95_0_1348,Degradado,Bosques templados,Municipio de Agua Prieta,Sonora,-108.958,31.2577,2021-08-05T11:52:46Z,1.0,Equus caballus,44,95/1_95_0_1348/HLPXGM09049680/2021-08-04/images_videos/919c9d47fddc0e758ef5e9bf67dc1b1b_0041.JPG
92,92,3_92_1_1338,Integro,Selvas humedas,Marqués de Comillas,Chiapas,-90.9048,16.1583,2021-08-05T15:31:13Z,1.0,Dicotyles tajacu,44,92/3_92_1_1338/HLPXGM09048890/2021-07-28/images_videos/b9ab30e2fc6c532933fc145772b7d082_0028.JPG
93,92,3_92_1_1338,Integro,Selvas humedas,Marqués de Comillas,Chiapas,-90.9048,16.1583,2021-08-05T15:31:14Z,1.0,Dicotyles tajacu,44,92/3_92_1_1338/HLPXGM09048890/2021-07-28/images_videos/acb3189ee42cfdf6e68bb304d8702297_0029.JPG
94,92,3_92_1_1338,Integro,Selvas humedas,Marqués de Comillas,Chiapas,-90.9048,16.1583,2021-08-05T15:31:13Z,1.0,Dicotyles tajacu,44,92/3_92_1_1338/HLPXGM09048890/2021-07-28/images_videos/b9ab30e2fc6c532933fc145772b7d082_0028.JPG
95,92,3_92_1_1338,Integro,Selvas humedas,Marqués de Comillas,Chiapas,-90.9048,16.1583,2021-08-05T15:31:14Z,1.0,Dicotyles tajacu,44,92/3_92_1_1338/HLPXGM09048890/2021-07-28/images_videos/acb3189ee42cfdf6e68bb304d8702297_0029.JPG
