"cumulo","nomenclatura_nodo","integridad_nodo","ecosistema","municipio","estado","coord_longitud","coord_latitud","fecha_foto","numero_individuos","etiqueta","anotador_id","ruta"
95,"1_95_1_1350","Integro","Bosques templados","Municipio de Agua Prieta","Sonora",-108.94,31.1979,2021-08-04 18:03:08,1,"Ursus americanus",44,"95/1_95_1_1350/HLPXGM09048973/2021-08-05/images_videos/e9aebd6e0dd51d7844e90bc553a1affb_0065.JPG"
95,"1_95_1_1350","Integro","Bosques templados","Municipio de Agua Prieta","Sonora",-108.94,31.1856,2021-08-08 02:27:41,1,"Ursus americanus",44,"95/1_95_1_1350/HLPXGM09049766/2021-08-04/images_videos/fffd567168f3716a4ae75597852040bd_0044.JPG"
95,"1_95_1_1350","Integro","Bosques templados","Municipio de Agua Prieta","Sonora",-108.94,31.1856,2021-08-08 02:27:41,1,"Ursus americanus",44,"95/1_95_1_1350/HLPXGM09049766/2021-08-04/images_videos/fffd567168f3716a4ae75597852040bd_0044.JPG"
92,"3_92_1_1338","Integro","Selvas humedas","Ocosingo","Chiapas",-90.9086,16.1619,2021-08-11 07:34:45,1,"Crax rubra",44,"92/3_92_1_1338/HLPXGM09048270/2021-07-28/images_videos/67d05ab08373e05948bd2cfc6d03666f_0059.JPG"
92,"3_92_1_1338","Integro","Selvas humedas","Ocosingo","Chiapas",-90.9086,16.1619,2021-08-11 07:34:44,1,"Crax rubra",44,"92/3_92_1_1338/HLPXGM09048270/2021-07-28/images_videos/26626af9883bf6f5a815d8bf794bcd7c_0058.JPG"
92,"3_92_0_1339","Degradado","Selvas humedas","Marqués de Comillas","Chiapas",-90.8071,16.1478,2021-07-08 06:16:51,1,"Dicotyles tajacu",44,"92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/43f0bfb6908c72b8371e519153784ef0_0038.JPG"
92,"3_92_0_1339","Degradado","Selvas humedas","Marqués de Comillas","Chiapas",-90.8071,16.1478,2021-07-08 06:59:25,1,"Dicotyles tajacu",44,"92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/44725572e5fab62076baa1922b206c7d_0046.JPG"
92,"3_92_0_1339","Degradado","Selvas humedas","Marqués de Comillas","Chiapas",-90.8071,16.1478,2021-07-08 06:59:26,1,"Dicotyles tajacu",44,"92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/0206abc27aff20ab6417aba63fb315f6_0047.JPG"
92,"3_92_0_1339","Degradado","Selvas humedas","Marqués de Comillas","Chiapas",-90.8071,16.1478,2021-07-08 07:00:01,1,"Dicotyles tajacu",44,"92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/4555039612d4f6b1bc15ec298c6d1d7f_0049.JPG"
92,"3_92_0_1339","Degradado","Selvas humedas","Marqués de Comillas","Chiapas",-90.8071,16.1478,2021-07-08 11:50:10,1,"Mazama temama",44,"92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/dbcf6ecaceabf9839d63c1acdac23074_0052.JPG"
92,"3_92_0_1339","Degradado","Selvas humedas","Marqués de Comillas","Chiapas",-90.8071,16.1478,2021-07-08 11:50:11,1,"Mazama temama",44,"92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/8536400c85b6f9684a4acfa32d8083b1_0053.JPG"
92,"3_92_0_1339","Degradado","Selvas humedas","Marqués de Comillas","Chiapas",-90.8071,16.1478,2021-07-08 15:41:37,1,"Mazama temama",44,"92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/e255e05d7a8628e597702efa9b733603_0055.JPG"
92,"3_92_0_1339","Degradado","Selvas humedas","Marqués de Comillas","Chiapas",-90.8071,16.1478,2021-07-08 15:41:38,1,"Mazama temama",44,"92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/e932de796cf531653060ec6b3b9c564d_0056.JPG"
92,"3_92_0_1339","Degradado","Selvas humedas","Marqués de Comillas","Chiapas",-90.8071,16.1478,2021-07-08 15:42:05,1,"Mazama temama",44,"92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/bf24b94e79c09ac1811dcc59bbdf5f2d_0058.JPG"
92,"3_92_0_1339","Degradado","Selvas humedas","Marqués de Comillas","Chiapas",-90.8071,16.1478,2021-07-08 15:42:05,1,"Mazama temama",44,"92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/bf24b94e79c09ac1811dcc59bbdf5f2d_0058.JPG"
92,"3_92_0_1339","Degradado","Selvas humedas","Marqués de Comillas","Chiapas",-90.8071,16.1478,2021-07-08 15:42:06,1,"Mazama temama",44,"92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/68dc231bff6a54670f8dd70c5c4007d2_0059.JPG"
92,"3_92_0_1339","Degradado","Selvas humedas","Marqués de Comillas","Chiapas",-90.8071,16.1478,2021-07-08 15:42:26,1,"Mazama temama",44,"92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/0f29c453da702f7d8394503e2b293004_0061.JPG"
92,"3_92_0_1339","Degradado","Selvas humedas","Marqués de Comillas","Chiapas",-90.8071,16.1478,2021-07-08 15:42:27,1,"Mazama temama",44,"92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/9c9d16e211f5b32c9e8b5ed48ee49811_0062.JPG"
92,"3_92_0_1339","Degradado","Selvas humedas","Marqués de Comillas","Chiapas",-90.8071,16.1478,2021-07-08 15:42:48,1,"Mazama temama",44,"92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/04fb2ffca1a1301ffa814d5955580e73_0064.JPG"
92,"3_92_0_1339","Degradado","Selvas humedas","Marqués de Comillas","Chiapas",-90.8071,16.1478,2021-07-08 15:42:49,1,"Mazama temama",44,"92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/66acc58ce959e222f8c81defb51c4aab_0065.JPG"
92,"3_92_0_1339","Degradado","Selvas humedas","Marqués de Comillas","Chiapas",-90.8071,16.1478,2021-07-08 15:43:40,1,"Mazama temama",44,"92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/8bef7ca8c9a0a8f1c5ffdf405f9bee97_0067.JPG"
92,"3_92_0_1339","Degradado","Selvas humedas","Marqués de Comillas","Chiapas",-90.8071,16.1478,2021-07-08 15:43:41,1,"Mazama temama",44,"92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/8f8909442d8f1e3135a97cdb48c3bb93_0068.JPG"
92,"3_92_0_1339","Degradado","Selvas humedas","Marqués de Comillas","Chiapas",-90.8071,16.1478,2021-07-12 16:33:37,1,"Dicotyles tajacu",44,"92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/70fc3724a3c1cf01c629cb8f95bdcf20_0076.JPG"
92,"3_92_0_1339","Degradado","Selvas humedas","Marqués de Comillas","Chiapas",-90.8071,16.1478,2021-07-12 16:33:38,1,"Dicotyles tajacu",44,"92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/cdde72c18fc938e53474c7106609c4bc_0077.JPG"
92,"3_92_0_1339","Degradado","Selvas humedas","Marqués de Comillas","Chiapas",-90.8071,16.1478,2021-07-18 08:38:47,1,"Dicotyles tajacu",44,"92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/8cbc92210aca4d261f65d1f9f3c616b1_0079.JPG"
92,"3_92_0_1339","Degradado","Selvas humedas","Marqués de Comillas","Chiapas",-90.8071,16.1478,2021-07-18 08:38:49,1,"Dicotyles tajacu",44,"92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/ea1676ee91c62bcd6da20d1d714d337f_0080.JPG"
92,"3_92_0_1339","Degradado","Selvas humedas","Marqués de Comillas","Chiapas",-90.8071,16.1478,2021-07-18 09:52:44,2,"Tamandua mexicana",44,"92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/43214f7aa92ffd8b1117a72cfb9db947_0086.JPG"
92,"3_92_1_1338","Integro","Selvas humedas","Ocosingo","Chiapas",-90.9086,16.1619,2021-07-29 07:08:33,1,"Crax rubra",44,"92/3_92_1_1338/HLPXGM09048270/2021-07-28/images_videos/0b850529ddaab1bc8591fb4bba72fadb_0004.JPG"
92,"3_92_1_1338","Integro","Selvas humedas","Ocosingo","Chiapas",-90.9086,16.1619,2021-07-29 07:08:33,1,"Crax rubra",44,"92/3_92_1_1338/HLPXGM09048270/2021-07-28/images_videos/0b850529ddaab1bc8591fb4bba72fadb_0004.JPG"
92,"3_92_1_1338","Integro","Selvas humedas","Ocosingo","Chiapas",-90.9086,16.1619,2021-07-29 07:08:34,1,"Crax rubra",44,"92/3_92_1_1338/HLPXGM09048270/2021-07-28/images_videos/3403a8e4f709c6ea90b2287dd70c3824_0005.JPG"
92,"3_92_1_1338","Integro","Selvas humedas","Ocosingo","Chiapas",-90.9086,16.1619,2021-07-29 07:08:34,1,"Crax rubra",44,"92/3_92_1_1338/HLPXGM09048270/2021-07-28/images_videos/3403a8e4f709c6ea90b2287dd70c3824_0005.JPG"
92,"3_92_1_1338","Integro","Selvas humedas","Ocosingo","Chiapas",-90.9129,16.1666,2021-07-29 19:02:21,1,"Aves",44,"92/3_92_1_1338/HLPXGM09049271/2021-07-28/images_videos/889d39e27fda1b68249b133fbd5ebcad_0002.JPG"
92,"3_92_1_1338","Integro","Selvas humedas","Ocosingo","Chiapas",-90.9086,16.1619,2021-07-29 21:53:17,1,"Cuniculus paca",44,"92/3_92_1_1338/HLPXGM09048270/2021-07-28/images_videos/36c9323d0b2ef3a56e609d5e2f4fdcbd_0007.JPG"
92,"3_92_1_1338","Integro","Selvas humedas","Ocosingo","Chiapas",-90.9086,16.1619,2021-07-29 21:53:18,1,"Cuniculus paca",44,"92/3_92_1_1338/HLPXGM09048270/2021-07-28/images_videos/a4de4afd3f9b495b4784bede9dae889d_0008.JPG"
92,"3_92_1_1338","Integro","Selvas humedas","Ocosingo","Chiapas",-90.9086,16.1619,2021-07-29 21:53:31,1,"Cuniculus paca",44,"92/3_92_1_1338/HLPXGM09048270/2021-07-28/images_videos/1a710efd9ae9309d0537059ffbdfcfee_0010.JPG"
92,"3_92_1_1338","Integro","Selvas humedas","Ocosingo","Chiapas",-90.9086,16.1619,2021-07-29 21:53:32,1,"Cuniculus paca",44,"92/3_92_1_1338/HLPXGM09048270/2021-07-28/images_videos/38a8465e73e4175941835f43abab1450_0011.JPG"
92,"3_92_1_1338","Integro","Selvas humedas","Ocosingo","Chiapas",-90.9133,16.1587,2021-07-29 22:51:53,1,"Dasypus novemcinctus",44,"92/3_92_1_1338/HLPXGM09049514/2021-07-28/images_videos/f410df19eb07cd60e5e265ed6775c94f_0043.JPG"
92,"3_92_1_1338","Integro","Selvas humedas","Ocosingo","Chiapas",-90.9133,16.1587,2021-07-29 22:51:54,1,"Dasypus novemcinctus",44,"92/3_92_1_1338/HLPXGM09049514/2021-07-28/images_videos/a0757bf5165809035170280623f0788b_0044.JPG"
92,"3_92_0_1339","Degradado","Selvas humedas","Marqués de Comillas","Chiapas",-90.8071,16.1478,2021-07-30 21:33:23,1,"Dasypus novemcinctus",44,"92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/9b2d15cb995fb41922cb4f83fe6f5d4a_0094.JPG"
92,"3_92_0_1339","Degradado","Selvas humedas","Marqués de Comillas","Chiapas",-90.8071,16.1478,2021-07-30 21:33:24,1,"Dasypus novemcinctus",44,"92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/04a5ccd72e6d6e0285ded2c21f82b102_0095.JPG"
92,"3_92_1_1338","Integro","Selvas humedas","Ocosingo","Chiapas",-90.9133,16.1587,2021-07-31 02:29:32,1,"Didelphis",44,"92/3_92_1_1338/HLPXGM09049514/2021-07-28/images_videos/2254083de612d77d6894f7fadf9e54d1_0046.JPG"
92,"3_92_1_1338","Integro","Selvas humedas","Ocosingo","Chiapas",-90.9133,16.1587,2021-07-31 02:29:33,1,"Didelphis",44,"92/3_92_1_1338/HLPXGM09049514/2021-07-28/images_videos/d45fedc4bb362a78569a6681d03d9ed6_0047.JPG"
92,"3_92_1_1338","Integro","Selvas humedas","Ocosingo","Chiapas",-90.9048,16.1693,2021-07-31 14:31:45,1,"Mazama temama",44,"92/3_92_1_1338/HLPXGM09048594/2021-07-28/images_videos/0a499c637c39611993f51ea52e4cfad2_0019.JPG"
92,"3_92_1_1338","Integro","Selvas humedas","Ocosingo","Chiapas",-90.9048,16.1693,2021-07-31 14:31:46,1,"Mazama temama",44,"92/3_92_1_1338/HLPXGM09048594/2021-07-28/images_videos/1952643074f8b61b443fa4aaeaa809e8_0020.JPG"
92,"3_92_0_1339","Degradado","Selvas humedas","Marqués de Comillas","Chiapas",-90.8138,16.1566,2021-08-02 05:16:00,1,"Dasypus novemcinctus",44,"92/3_92_0_1339/HLPXGM09048925/2021-07-29/images_videos/f1fbf1d7df5024f78156c80339067f3c_0055.JPG"
92,"3_92_0_1339","Degradado","Selvas humedas","Marqués de Comillas","Chiapas",-90.8138,16.1566,2021-08-02 05:16:01,1,"Dasypus novemcinctus",44,"92/3_92_0_1339/HLPXGM09048925/2021-07-29/images_videos/d7bfa223ec7660eeb36b0eccf9670ca7_0056.JPG"
92,"3_92_1_1338","Integro","Selvas humedas","Ocosingo","Chiapas",-90.9086,16.1619,2021-08-02 11:35:32,1,"Crax rubra",44,"92/3_92_1_1338/HLPXGM09048270/2021-07-28/images_videos/c9afa5242d964589a326331b3015e6d5_0013.JPG"
92,"3_92_1_1338","Integro","Selvas humedas","Ocosingo","Chiapas",-90.9086,16.1619,2021-08-02 11:35:33,1,"Crax rubra",44,"92/3_92_1_1338/HLPXGM09048270/2021-07-28/images_videos/44d894a82a93c1206e351586cc15f68a_0014.JPG"
92,"3_92_1_1338","Integro","Selvas humedas","Ocosingo","Chiapas",-90.9129,16.1666,2021-08-04 06:50:00,1,"Columbidae",44,"92/3_92_1_1338/HLPXGM09049271/2021-07-28/images_videos/80a88c0d228069557ca28e3c86dc18b9_0007.JPG"
92,"3_92_1_1338","Integro","Selvas humedas","Ocosingo","Chiapas",-90.9129,16.1666,2021-08-04 06:50:01,1,"Columbidae",44,"92/3_92_1_1338/HLPXGM09049271/2021-07-28/images_videos/10a71e111fc1df5c50d3420a073c65c1_0008.JPG"
13,"3_13_0_1399","Degradado","Selvas humedas","Palizada","Campeche",-91.9688,18.0872,2021-08-04 12:15:26,1,"Leopardus pardalis",44,"13/3_13_0_1399/HLPXGM09048449/2021-08-03/images_videos/9a7f6e052e5464fba36d94143642e9a1_0004.JPG"
13,"3_13_0_1399","Degradado","Selvas humedas","Palizada","Campeche",-91.9688,18.0872,2021-08-04 12:15:27,1,"Leopardus pardalis",44,"13/3_13_0_1399/HLPXGM09048449/2021-08-03/images_videos/f67e2cfcf3f02e74c42f9c8ec017c4d4_0005.JPG"
95,"1_95_0_1348","Degradado","Bosques templados","Municipio de Agua Prieta","Sonora",-108.952,31.254,2021-08-04 16:11:45,2,"Odocoileus virginianus",44,"95/1_95_0_1348/HLPXGM09048863/2021-08-04/images_videos/18f8c73cba82aef837a1639d3e2f37b6_0104.JPG"
95,"1_95_0_1348","Degradado","Bosques templados","Municipio de Agua Prieta","Sonora",-108.952,31.254,2021-08-04 16:11:44,1,"Odocoileus virginianus",44,"95/1_95_0_1348/HLPXGM09048863/2021-08-04/images_videos/f9577498cddb89f28b0d51bf5b49c1a6_0103.JPG"
95,"1_95_0_1348","Degradado","Bosques templados","Municipio de Agua Prieta","Sonora",-108.952,31.254,2021-08-04 16:11:44,1,"Odocoileus virginianus",44,"95/1_95_0_1348/HLPXGM09048863/2021-08-04/images_videos/f9577498cddb89f28b0d51bf5b49c1a6_0103.JPG"
95,"1_95_1_1350","Integro","Bosques templados","Municipio de Agua Prieta","Sonora",-108.94,31.1979,2021-08-04 18:02:53,1,"Ursus americanus",44,"95/1_95_1_1350/HLPXGM09048973/2021-08-05/images_videos/26a65d86f77201ef0f6c0176ec2ce265_0061.JPG"
95,"1_95_1_1350","Integro","Bosques templados","Municipio de Agua Prieta","Sonora",-108.94,31.1979,2021-08-04 18:02:54,1,"Ursus americanus",44,"95/1_95_1_1350/HLPXGM09048973/2021-08-05/images_videos/1c1b143f8d9c5ddfa720def05dbc68e5_0062.JPG"
95,"1_95_1_1350","Integro","Bosques templados","Municipio de Agua Prieta","Sonora",-108.94,31.1979,2021-08-04 18:03:07,1,"Ursus americanus",44,"95/1_95_1_1350/HLPXGM09048973/2021-08-05/images_videos/54eb25c70c4e63700d1d4f4785f7518e_0064.JPG"
92,"3_92_1_1338","Integro","Selvas humedas","Marqués de Comillas","Chiapas",-90.9048,16.1583,2021-08-04 21:14:07,1,"Dasypus novemcinctus",44,"92/3_92_1_1338/HLPXGM09048890/2021-07-28/images_videos/6f6779160de81300d8f4087aa972f572_0019.JPG"
92,"3_92_1_1338","Integro","Selvas humedas","Ocosingo","Chiapas",-90.9086,16.1619,2021-08-05 01:38:09,1,"Cuniculus paca",44,"92/3_92_1_1338/HLPXGM09048270/2021-07-28/images_videos/d2ccf437a0d65b3a23c0db1d92affa98_0016.JPG"
92,"3_92_1_1338","Integro","Selvas humedas","Ocosingo","Chiapas",-90.9086,16.1619,2021-08-05 01:38:10,1,"Cuniculus paca",44,"92/3_92_1_1338/HLPXGM09048270/2021-07-28/images_videos/cd377d303cd1128cf1925eccba9f7020_0017.JPG"
92,"3_92_1_1338","Integro","Selvas humedas","Ocosingo","Chiapas",-90.9086,16.1619,2021-08-05 01:38:29,1,"Cuniculus paca",44,"92/3_92_1_1338/HLPXGM09048270/2021-07-28/images_videos/79840bbc9627d20b0650dd8cd9457b21_0019.JPG"
92,"3_92_1_1338","Integro","Selvas humedas","Ocosingo","Chiapas",-90.9086,16.1619,2021-08-05 01:38:30,1,"Cuniculus paca",44,"92/3_92_1_1338/HLPXGM09048270/2021-07-28/images_videos/63aef80b6388ff2d41cb8dada73f5528_0020.JPG"
92,"3_92_0_1339","Degradado","Selvas humedas","Marqués de Comillas","Chiapas",-90.8165,16.1494,2021-08-05 02:20:05,1,"Philander opossum",44,"92/3_92_0_1339/HLPXGM09049092/2021-07-29/images_videos/8f71d2a88f7adaa34bd3baba7cf493af_0016.JPG"
92,"3_92_0_1339","Degradado","Selvas humedas","Marqués de Comillas","Chiapas",-90.8165,16.1494,2021-08-05 02:20:06,1,"Philander opossum",44,"92/3_92_0_1339/HLPXGM09049092/2021-07-29/images_videos/35c8dad021a76730f9e3bfb586cdbebe_0017.JPG"
92,"3_92_1_1338","Integro","Selvas humedas","Ocosingo","Chiapas",-90.9086,16.1619,2021-08-05 08:23:24,1,"Crax rubra",44,"92/3_92_1_1338/HLPXGM09048270/2021-07-28/images_videos/04be2c15214d0dfe3cb053c3833b98a4_0022.JPG"
92,"3_92_1_1338","Integro","Selvas humedas","Ocosingo","Chiapas",-90.9086,16.1619,2021-08-05 08:23:25,1,"Crax rubra",44,"92/3_92_1_1338/HLPXGM09048270/2021-07-28/images_videos/783ed64ec350a9b0eadd24e4441177ef_0023.JPG"
92,"3_92_1_1338","Integro","Selvas humedas","Ocosingo","Chiapas",-90.9086,16.1619,2021-08-05 08:30:26,1,"Crax rubra",44,"92/3_92_1_1338/HLPXGM09048270/2021-07-28/images_videos/448380a5beb5c4fc09e99ea32bf9ad64_0025.JPG"
92,"3_92_1_1338","Integro","Selvas humedas","Ocosingo","Chiapas",-90.9086,16.1619,2021-08-05 08:30:27,1,"Crax rubra",44,"92/3_92_1_1338/HLPXGM09048270/2021-07-28/images_videos/68508621493a223ed3e1bd15bd91425c_0026.JPG"
95,"1_95_1_1350","Integro","Bosques templados","Municipio de Agua Prieta","Sonora",-108.935,31.1922,2021-08-05 09:38:49,1,"Odocoileus virginianus",44,"95/1_95_1_1350/HLPXGM09049767/2021-08-04/images_videos/c7b563124d65b8e880c2ce3b3ae2a50a_0055.JPG"
95,"1_95_1_1350","Integro","Bosques templados","Municipio de Agua Prieta","Sonora",-108.935,31.1922,2021-08-05 09:38:50,1,"Odocoileus virginianus",44,"95/1_95_1_1350/HLPXGM09049767/2021-08-04/images_videos/bf5fbccf75877f5d3f68bd9a3f1c4385_0056.JPG"
95,"1_95_0_1348","Degradado","Bosques templados","Municipio de Agua Prieta","Sonora",-108.952,31.254,2021-08-05 11:03:23,1,"Odocoileus virginianus",44,"95/1_95_0_1348/HLPXGM09048863/2021-08-04/images_videos/be37d29221eee612e3bc283e8891ca27_0109.JPG"
95,"1_95_0_1348","Degradado","Bosques templados","Municipio de Agua Prieta","Sonora",-108.952,31.254,2021-08-05 11:03:24,1,"Odocoileus virginianus",44,"95/1_95_0_1348/HLPXGM09048863/2021-08-04/images_videos/fb91e5b32af0e98b5a85716665ace1ac_0110.JPG"
95,"1_95_0_1348","Degradado","Bosques templados","Municipio de Agua Prieta","Sonora",-108.958,31.2577,2021-08-05 11:50:57,1,"Equus",44,"95/1_95_0_1348/HLPXGM09049680/2021-08-04/images_videos/93469b87c41eb0346177ce976dede32c_0034.JPG"
95,"1_95_0_1348","Degradado","Bosques templados","Municipio de Agua Prieta","Sonora",-108.958,31.2577,2021-08-05 11:50:58,1,"Equus",44,"95/1_95_0_1348/HLPXGM09049680/2021-08-04/images_videos/60f7aeb9d1df1dde9b623011567bd0e4_0035.JPG"
95,"1_95_0_1348","Degradado","Bosques templados","Municipio de Agua Prieta","Sonora",-108.958,31.2577,2021-08-05 11:51:12,1,"Equus caballus",44,"95/1_95_0_1348/HLPXGM09049680/2021-08-04/images_videos/1e0084bd6b78e0991a036d862dad7279_0037.JPG"
95,"1_95_0_1348","Degradado","Bosques templados","Municipio de Agua Prieta","Sonora",-108.958,31.2577,2021-08-05 11:51:13,1,"Equus caballus",44,"95/1_95_0_1348/HLPXGM09049680/2021-08-04/images_videos/ca7452e917c7a40fb9d25358127fcfb2_0038.JPG"
95,"1_95_0_1348","Degradado","Bosques templados","Municipio de Agua Prieta","Sonora",-108.958,31.2577,2021-08-05 11:52:45,1,"Equus caballus",44,"95/1_95_0_1348/HLPXGM09049680/2021-08-04/images_videos/b8f41b5ce6d2dda8cfa08d76a0a63bef_0040.JPG"
95,"1_95_0_1348","Degradado","Bosques templados","Municipio de Agua Prieta","Sonora",-108.958,31.2577,2021-08-05 11:52:46,1,"Equus caballus",44,"95/1_95_0_1348/HLPXGM09049680/2021-08-04/images_videos/919c9d47fddc0e758ef5e9bf67dc1b1b_0041.JPG"
92,"3_92_1_1338","Integro","Selvas humedas","Marqués de Comillas","Chiapas",-90.9048,16.1583,2021-08-05 15:29:24,1,"Dicotyles tajacu",44,"92/3_92_1_1338/HLPXGM09048890/2021-07-28/images_videos/0b48d24f7e1d12ec26d73ea5588f9959_0022.JPG"
92,"3_92_1_1338","Integro","Selvas humedas","Marqués de Comillas","Chiapas",-90.9048,16.1583,2021-08-05 15:29:25,1,"Dicotyles tajacu",44,"92/3_92_1_1338/HLPXGM09048890/2021-07-28/images_videos/0e4a500d25ecca9194d940db0c35f017_0023.JPG"
92,"3_92_1_1338","Integro","Selvas humedas","Marqués de Comillas","Chiapas",-90.9048,16.1583,2021-08-05 15:31:13,1,"Dicotyles tajacu",44,"92/3_92_1_1338/HLPXGM09048890/2021-07-28/images_videos/b9ab30e2fc6c532933fc145772b7d082_0028.JPG"
92,"3_92_1_1338","Integro","Selvas humedas","Marqués de Comillas","Chiapas",-90.9048,16.1583,2021-08-05 15:31:13,1,"Dicotyles tajacu",44,"92/3_92_1_1338/HLPXGM09048890/2021-07-28/images_videos/b9ab30e2fc6c532933fc145772b7d082_0028.JPG"
92,"3_92_1_1338","Integro","Selvas humedas","Marqués de Comillas","Chiapas",-90.9048,16.1583,2021-08-05 15:31:14,1,"Dicotyles tajacu",44,"92/3_92_1_1338/HLPXGM09048890/2021-07-28/images_videos/acb3189ee42cfdf6e68bb304d8702297_0029.JPG"
92,"3_92_1_1338","Integro","Selvas humedas","Marqués de Comillas","Chiapas",-90.9048,16.1583,2021-08-05 15:31:14,1,"Dicotyles tajacu",44,"92/3_92_1_1338/HLPXGM09048890/2021-07-28/images_videos/acb3189ee42cfdf6e68bb304d8702297_0029.JPG"
92,"3_92_1_1338","Integro","Selvas humedas","Marqués de Comillas","Chiapas",-90.9048,16.1583,2021-08-05 15:31:24,1,"Dicotyles tajacu",44,"92/3_92_1_1338/HLPXGM09048890/2021-07-28/images_videos/c6c3d51bee6fa8324d33383db52c94f8_0031.JPG"
